"No.","Time","Source","Destination","Protocol","Length","Info"
"47","2020-01-01 18:53:27.390049","192.168.159.131","192.168.159.11","HTTP","986","HTTP/1.1 200 OK  (text/html)"
"48","2020-01-01 18:53:27.390706","192.168.159.131","192.168.159.11","TCP","54","80  >  5345 [FIN, ACK] Seq=933 Ack=19 Win=5888 Len=0"
"49","2020-01-01 18:53:27.390787","192.168.159.11","192.168.159.131","TCP","54","5345  >  80 [ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"50","2020-01-01 18:53:27.489358","192.168.159.11","192.168.159.131","TCP","54","5345  >  80 [FIN, ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"51","2020-01-01 18:53:27.489683","192.168.159.131","192.168.159.11","TCP","54","80  >  5345 [ACK] Seq=934 Ack=20 Win=5888 Len=0"
"52","2020-01-01 18:53:27.489696","192.168.159.11","192.168.159.131","TCP","66","5346  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"53","2020-01-01 18:53:27.489804","192.168.159.131","192.168.159.11","TCP","66","80  >  5346 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"54","2020-01-01 18:53:27.489890","192.168.159.11","192.168.159.131","TCP","54","5346  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"55","2020-01-01 18:53:27.547939","192.168.159.11","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"56","2020-01-01 18:53:27.548292","192.168.159.131","192.168.159.11","TCP","54","80  >  5346 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"57","2020-01-01 18:53:27.548643","192.168.159.131","192.168.159.11","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"58","2020-01-01 18:53:27.589321","192.168.159.11","192.168.159.131","TCP","54","5346  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"59","2020-01-01 18:53:34.453687","192.168.159.12","192.168.159.131","TCP","58","34867  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"60","2020-01-01 18:53:34.454219","192.168.159.131","192.168.159.12","TCP","58","80  >  34867 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"61","2020-01-01 18:53:34.454376","192.168.159.12","192.168.159.131","TCP","54","34867  >  80 [RST] Seq=1 Win=0 Len=0"
"62","2020-01-01 18:53:34.505704","192.168.159.12","192.168.159.131","TCP","66","5349  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"63","2020-01-01 18:53:34.505901","192.168.159.131","192.168.159.12","TCP","66","80  >  5349 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"64","2020-01-01 18:53:34.506037","192.168.159.12","192.168.159.131","TCP","54","5349  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"65","2020-01-01 18:53:34.557995","192.168.159.12","192.168.159.131","HTTP","72","GET / HTTP/1.0 "
"66","2020-01-01 18:53:34.558263","192.168.159.131","192.168.159.12","TCP","54","80  >  5349 [ACK] Seq=1 Ack=19 Win=5888 Len=0"
"67","2020-01-01 18:53:34.558676","192.168.159.131","192.168.159.12","HTTP","986","HTTP/1.1 200 OK  (text/html)"
"68","2020-01-01 18:53:34.559454","192.168.159.131","192.168.159.12","TCP","54","80  >  5349 [FIN, ACK] Seq=933 Ack=19 Win=5888 Len=0"
"69","2020-01-01 18:53:34.559518","192.168.159.12","192.168.159.131","TCP","54","5349  >  80 [ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"70","2020-01-01 18:53:34.660022","192.168.159.12","192.168.159.131","TCP","54","5349  >  80 [FIN, ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"71","2020-01-01 18:53:34.660235","192.168.159.131","192.168.159.12","TCP","54","80  >  5349 [ACK] Seq=934 Ack=20 Win=5888 Len=0"
"72","2020-01-01 18:53:34.660460","192.168.159.12","192.168.159.131","TCP","66","5350  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"73","2020-01-01 18:53:34.660608","192.168.159.131","192.168.159.12","TCP","66","80  >  5350 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"74","2020-01-01 18:53:34.660725","192.168.159.12","192.168.159.131","TCP","54","5350  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"75","2020-01-01 18:53:34.716251","192.168.159.12","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"76","2020-01-01 18:53:34.716601","192.168.159.131","192.168.159.12","TCP","54","80  >  5350 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"77","2020-01-01 18:53:34.716935","192.168.159.131","192.168.159.12","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"78","2020-01-01 18:53:34.759932","192.168.159.12","192.168.159.131","TCP","54","5350  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"79","2020-01-01 18:53:36.445089","192.168.159.10","192.168.159.131","TCP","54","5343  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"80","2020-01-01 18:53:36.445436","192.168.159.131","192.168.159.10","TCP","54","80  >  5343 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"81","2020-01-01 18:53:36.445583","192.168.159.10","192.168.159.131","TCP","54","5343  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"82","2020-01-01 18:53:36.445710","192.168.159.10","192.168.159.131","TCP","66","5352  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"83","2020-01-01 18:53:36.446089","192.168.159.131","192.168.159.10","TCP","66","80  >  5352 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"84","2020-01-01 18:53:36.446254","192.168.159.10","192.168.159.131","TCP","54","5352  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"85","2020-01-01 18:53:36.505077","192.168.159.10","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"86","2020-01-01 18:53:36.505474","192.168.159.131","192.168.159.10","TCP","54","80  >  5352 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"87","2020-01-01 18:53:36.505881","192.168.159.131","192.168.159.10","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"88","2020-01-01 18:53:36.551680","192.168.159.10","192.168.159.131","TCP","54","5352  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"89","2020-01-01 18:53:37.653838","192.168.159.11","192.168.159.131","TCP","54","5346  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"90","2020-01-01 18:53:37.654293","192.168.159.131","192.168.159.11","TCP","54","80  >  5346 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"91","2020-01-01 18:53:37.654433","192.168.159.11","192.168.159.131","TCP","54","5346  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"92","2020-01-01 18:53:37.654501","192.168.159.11","192.168.159.131","TCP","66","5354  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"93","2020-01-01 18:53:37.655013","192.168.159.131","192.168.159.11","TCP","66","80  >  5354 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"94","2020-01-01 18:53:37.655202","192.168.159.11","192.168.159.131","TCP","54","5354  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"95","2020-01-01 18:53:37.712576","192.168.159.11","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"96","2020-01-01 18:53:37.713158","192.168.159.131","192.168.159.11","TCP","54","80  >  5354 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"97","2020-01-01 18:53:37.713646","192.168.159.131","192.168.159.11","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"98","2020-01-01 18:53:37.753969","192.168.159.11","192.168.159.131","TCP","54","5354  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"99","2020-01-01 18:53:40.327112","192.168.159.14","192.168.159.131","TCP","58","42195  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"100","2020-01-01 18:53:40.327554","192.168.159.131","192.168.159.14","TCP","58","80  >  42195 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"101","2020-01-01 18:53:40.327688","192.168.159.14","192.168.159.131","TCP","54","42195  >  80 [RST] Seq=1 Win=0 Len=0"
"102","2020-01-01 18:53:40.382123","192.168.159.14","192.168.159.131","TCP","66","5356  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"103","2020-01-01 18:53:40.382257","192.168.159.131","192.168.159.14","TCP","66","80  >  5356 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"104","2020-01-01 18:53:40.382365","192.168.159.14","192.168.159.131","TCP","54","5356  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"105","2020-01-01 18:53:40.434655","192.168.159.14","192.168.159.131","HTTP","72","GET / HTTP/1.0 "
"106","2020-01-01 18:53:40.434790","192.168.159.131","192.168.159.14","TCP","54","80  >  5356 [ACK] Seq=1 Ack=19 Win=5888 Len=0"
"107","2020-01-01 18:53:40.435079","192.168.159.131","192.168.159.14","HTTP","986","HTTP/1.1 200 OK  (text/html)"
"108","2020-01-01 18:53:40.435361","192.168.159.131","192.168.159.14","TCP","54","80  >  5356 [FIN, ACK] Seq=933 Ack=19 Win=5888 Len=0"
"109","2020-01-01 18:53:40.435407","192.168.159.14","192.168.159.131","TCP","54","5356  >  80 [ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"110","2020-01-01 18:53:40.534732","192.168.159.14","192.168.159.131","TCP","54","5356  >  80 [FIN, ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"111","2020-01-01 18:53:40.534849","192.168.159.131","192.168.159.14","TCP","54","80  >  5356 [ACK] Seq=934 Ack=20 Win=5888 Len=0"
"112","2020-01-01 18:53:40.535021","192.168.159.14","192.168.159.131","TCP","66","5358  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"113","2020-01-01 18:53:40.535101","192.168.159.131","192.168.159.14","TCP","66","80  >  5358 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"114","2020-01-01 18:53:40.535162","192.168.159.14","192.168.159.131","TCP","54","5358  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"115","2020-01-01 18:53:40.588098","192.168.159.14","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"116","2020-01-01 18:53:40.588362","192.168.159.131","192.168.159.14","TCP","54","80  >  5358 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"117","2020-01-01 18:53:40.588662","192.168.159.131","192.168.159.14","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"118","2020-01-01 18:53:40.632423","192.168.159.14","192.168.159.131","TCP","54","5358  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"119","2020-01-01 18:53:41.436238","192.168.159.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"120","2020-01-01 18:53:42.439671","192.168.159.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"121","2020-01-01 18:53:42.459269","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.159.131? Tell 192.168.159.13"
"122","2020-01-01 18:53:42.459438","VMware_48:50:c7","VMware_c0:00:08","ARP","42","192.168.159.131 is at 00:0c:29:48:50:c7"
"123","2020-01-01 18:53:43.445595","192.168.159.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"124","2020-01-01 18:53:44.445405","192.168.159.1","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"125","2020-01-01 18:53:44.835643","192.168.159.12","192.168.159.131","TCP","54","5350  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"126","2020-01-01 18:53:44.835848","192.168.159.131","192.168.159.12","TCP","54","80  >  5350 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"127","2020-01-01 18:53:44.835943","192.168.159.12","192.168.159.131","TCP","54","5350  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"128","2020-01-01 18:53:44.836111","192.168.159.12","192.168.159.131","TCP","66","5360  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"129","2020-01-01 18:53:44.836346","192.168.159.131","192.168.159.12","TCP","66","80  >  5360 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"130","2020-01-01 18:53:44.836470","192.168.159.12","192.168.159.131","TCP","54","5360  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"131","2020-01-01 18:53:44.892634","192.168.159.12","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"132","2020-01-01 18:53:44.893001","192.168.159.131","192.168.159.12","TCP","54","80  >  5360 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"133","2020-01-01 18:53:44.894257","192.168.159.131","192.168.159.12","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"134","2020-01-01 18:53:44.937622","192.168.159.12","192.168.159.131","TCP","54","5360  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"135","2020-01-01 18:53:46.607589","192.168.159.10","192.168.159.131","TCP","54","5352  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"136","2020-01-01 18:53:46.607972","192.168.159.131","192.168.159.10","TCP","54","80  >  5352 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"137","2020-01-01 18:53:46.608107","192.168.159.10","192.168.159.131","TCP","54","5352  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"138","2020-01-01 18:53:46.608154","192.168.159.10","192.168.159.131","TCP","66","5362  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"139","2020-01-01 18:53:46.608334","192.168.159.131","192.168.159.10","TCP","66","80  >  5362 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"140","2020-01-01 18:53:46.608504","192.168.159.10","192.168.159.131","TCP","54","5362  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"141","2020-01-01 18:53:46.667150","192.168.159.10","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"142","2020-01-01 18:53:46.667646","192.168.159.131","192.168.159.10","TCP","54","80  >  5362 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"143","2020-01-01 18:53:46.668394","192.168.159.131","192.168.159.10","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"144","2020-01-01 18:53:46.714071","192.168.159.10","192.168.159.131","TCP","54","5362  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"145","2020-01-01 18:53:47.819990","192.168.159.11","192.168.159.131","TCP","54","5354  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"146","2020-01-01 18:53:47.820403","192.168.159.131","192.168.159.11","TCP","54","80  >  5354 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"147","2020-01-01 18:53:47.820539","192.168.159.11","192.168.159.131","TCP","54","5354  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"148","2020-01-01 18:53:47.820637","192.168.159.11","192.168.159.131","TCP","66","5364  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"149","2020-01-01 18:53:47.820987","192.168.159.131","192.168.159.11","TCP","66","80  >  5364 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"150","2020-01-01 18:53:47.821155","192.168.159.11","192.168.159.131","TCP","54","5364  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"151","2020-01-01 18:53:47.880463","192.168.159.11","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"152","2020-01-01 18:53:47.880930","192.168.159.131","192.168.159.11","TCP","54","80  >  5364 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"153","2020-01-01 18:53:47.881361","192.168.159.131","192.168.159.11","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"154","2020-01-01 18:53:47.926424","192.168.159.11","192.168.159.131","TCP","54","5364  >  80 [ACK] Seq=135 Ack=914 Win=130304 Len=0"
"155","2020-01-01 18:53:50.722901","192.168.159.14","192.168.159.131","TCP","54","5358  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"156","2020-01-01 18:53:50.723089","192.168.159.131","192.168.159.14","TCP","54","80  >  5358 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"157","2020-01-01 18:53:50.723183","192.168.159.14","192.168.159.131","TCP","54","5358  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"158","2020-01-01 18:53:50.723468","192.168.159.14","192.168.159.131","TCP","66","5366  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"159","2020-01-01 18:53:50.723700","192.168.159.131","192.168.159.14","TCP","66","80  >  5366 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"160","2020-01-01 18:53:50.723843","192.168.159.14","192.168.159.131","TCP","54","5366  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"161","2020-01-01 18:53:50.780908","192.168.159.14","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"162","2020-01-01 18:53:50.781127","192.168.159.131","192.168.159.14","TCP","54","80  >  5366 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"163","2020-01-01 18:53:50.781463","192.168.159.131","192.168.159.14","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"164","2020-01-01 18:53:50.825671","192.168.159.14","192.168.159.131","TCP","54","5366  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"165","2020-01-01 18:53:54.877474","192.168.159.131","192.168.159.255","BROWSER","273","Local Master Announcement BEE-BOX, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Master Browser, DFS server"
"166","2020-01-01 18:53:54.878054","192.168.159.131","192.168.159.255","BROWSER","250","Domain/Workgroup Announcement ITSECGAMES, NT Workstation, Domain Enum"
"167","2020-01-01 18:53:55.021272","192.168.159.12","192.168.159.131","TCP","54","5360  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"168","2020-01-01 18:53:55.021517","192.168.159.131","192.168.159.12","TCP","54","80  >  5360 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"169","2020-01-01 18:53:55.021621","192.168.159.12","192.168.159.131","TCP","54","5360  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"170","2020-01-01 18:53:55.021818","192.168.159.12","192.168.159.131","TCP","66","5368  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"171","2020-01-01 18:53:55.022014","192.168.159.131","192.168.159.12","TCP","66","80  >  5368 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"172","2020-01-01 18:53:55.022141","192.168.159.12","192.168.159.131","TCP","54","5368  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"173","2020-01-01 18:53:55.075528","192.168.159.12","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"174","2020-01-01 18:53:55.075842","192.168.159.131","192.168.159.12","TCP","54","80  >  5368 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"175","2020-01-01 18:53:55.076767","192.168.159.131","192.168.159.12","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"176","2020-01-01 18:53:55.117095","192.168.159.12","192.168.159.131","TCP","54","5368  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"177","2020-01-01 18:53:56.801742","192.168.159.10","192.168.159.131","TCP","54","5362  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"178","2020-01-01 18:53:56.802159","192.168.159.131","192.168.159.10","TCP","54","80  >  5362 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"179","2020-01-01 18:53:56.802299","192.168.159.10","192.168.159.131","TCP","54","5362  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
